State,Steps,AgentStartingPosition
0,33,29
0,127,15
0,74,12
0,23,16
0,31,44
0,1,39
0,41,4
0,60,44
0,32,31
0,18,6
0,10,33
0,16,5
0,100,15
0,72,38
0,21,38
0,35,5
0,73,45
0,30,32
0,236,7
0,18,40
0,41,35
0,41,30
0,8,18
0,33,15
0,15,43
0,38,10
0,11,29
0,12,7
0,68,13
0,19,26
0,18,13
0,83,22
0,38,23
0,43,20
0,74,6
0,33,16
0,30,41
0,99,0
0,16,4
0,213,46
0,86,47
0,18,20
0,21,34
0,168,21
0,6,6
0,59,41
0,47,10
0,34,10
0,143,45
0,86,21
0,80,31
0,57,33
0,101,20
0,132,27
0,21,30
0,64,21
0,41,43
0,10,18
0,42,22
0,103,8
0,59,40
0,8,23
0,227,27
0,33,27
0,12,19
0,52,9
0,56,12
0,75,35
0,32,49
0,71,3
0,67,49
0,68,24
0,277,27
0,125,48
0,4,17
0,9,23
0,27,0
0,21,46
0,80,6
0,1,2
0,1,6
0,167,24
0,161,16
0,27,26
0,118,35
0,78,40
0,40,5
0,70,33
0,22,8
0,68,7
0,16,39
0,50,40
0,24,12
0,36,31
0,29,20
0,42,12
0,31,46
0,3,25
0,21,19
0,12,13
0,120,5
0,1,37
0,61,45
0,22,11
0,22,42
0,1,49
0,10,7
0,51,1
0,13,33
0,77,15
0,30,12
0,9,11
0,61,6
0,73,17
0,13,42
0,45,2
0,39,13
0,4,45
0,6,11
0,19,18
0,39,8
0,2,1
0,26,19
0,78,44
0,1,3
0,25,7
0,41,24
0,23,1
0,15,2
0,55,14
0,51,17
0,15,8
0,94,6
0,11,42
0,1,21
0,101,24
0,35,43
0,40,8
0,41,31
0,161,29
0,41,31
0,34,15
0,7,22
0,18,41
0,60,36
0,46,5
0,25,23
0,21,31
0,88,16
0,3,38
0,68,3
0,49,26
0,53,16
0,12,24
0,23,16
0,67,36
0,7,35
0,39,41
0,24,35
0,55,1
0,45,45
0,11,32
0,17,36
0,215,33
0,13,22
0,9,34
0,30,28
0,34,46
0,337,24
0,118,17
0,98,5
0,37,8
0,79,27
0,6,37
0,35,9
0,56,49
0,19,23
0,89,25
0,56,45
0,109,6
0,40,45
0,40,8
0,50,5
0,66,44
0,5,29
0,26,22
0,2,37
0,167,32
0,44,32
0,64,5
0,111,45
0,17,32
0,7,28
0,10,2
0,69,8
0,39,6
0,42,21
0,13,28
0,42,0
0,225,27
0,74,15
0,25,33
0,58,43
0,14,5
0,22,49
0,17,14
0,5,28
0,36,10
0,65,49
0,28,14
0,83,17
0,31,30
0,91,18
0,6,21
0,75,41
0,51,11
0,66,49
0,33,19
0,64,14
0,63,45
0,35,13
0,221,19
0,69,27
0,49,32
0,37,4
0,20,41
0,130,22
0,14,32
0,4,12
0,13,31
0,13,30
0,19,29
0,41,32
0,124,6
0,55,43
0,8,35
0,134,3
0,46,30
0,79,45
0,29,39
0,22,21
0,50,40
0,115,25
0,73,9
0,18,48
0,5,0
0,68,9
0,4,27
0,33,30
0,20,17
0,6,46
0,48,25
0,46,30
0,70,21
0,11,7
0,83,49
0,25,25
0,18,24
0,48,14
0,87,9
0,117,8
0,11,32
0,46,44
0,20,0
0,58,11
0,142,3
0,52,5
0,149,34
0,76,49
0,10,37
0,21,20
0,33,2
0,63,39
0,13,24
0,10,28
0,71,6
0,73,33
0,169,8
0,5,11
0,229,35
0,67,22
0,3,35
0,16,31
0,14,38
0,56,22
0,48,34
0,21,8
0,15,33
0,2,47
0,84,40
0,22,27
0,5,15
0,50,8
0,17,38
0,19,5
0,97,42
0,109,16
0,247,37
0,4,36
0,12,41
0,5,22
0,107,29
0,130,14
0,81,24
0,39,4
0,115,31
0,48,17
0,22,35
0,21,48
0,54,1
0,12,1
0,51,18
0,3,1
0,13,49
0,5,3
0,47,15
0,12,49
0,30,30
0,209,43
0,15,36
0,15,33
0,14,49
0,1,29
0,54,37
0,36,9
0,20,15
0,26,40
0,13,29
0,23,23
0,33,6
0,119,44
0,3,32
0,49,41
0,12,26
0,14,49
0,68,36
0,38,15
0,77,10
0,32,40
0,5,10
0,71,6
0,6,5
0,40,3
0,24,6
0,80,28
0,7,28
0,133,18
0,37,10
0,86,20
0,22,48
0,216,36
0,52,35
0,36,19
0,18,31
0,66,0
0,1,40
0,22,28
0,25,0
0,27,47
0,32,30
0,61,9
0,32,41
0,79,42
0,8,32
0,40,45
0,3,37
0,2,7
0,15,34
0,5,44
0,82,14
0,153,31
0,22,36
0,137,39
0,49,18
0,18,17
0,22,12
0,65,30
0,43,8
0,4,22
0,117,48
0,14,18
0,1,3
0,38,18
0,42,7
0,34,2
0,7,39
0,88,3
0,13,39
0,61,0
0,26,15
0,53,7
0,69,42
0,5,15
0,26,27
0,20,13
0,54,38
0,71,5
0,43,9
0,74,0
0,151,46
0,17,7
0,37,31
0,137,30
0,2,22
0,164,6
