State,Steps,AgentStartingPosition
0,10,1
0,16,13
0,27,40
0,6,32
0,3,26
0,53,27
0,34,41
0,10,1
0,27,36
0,1,13
0,11,12
0,38,18
0,20,17
0,21,22
0,18,24
0,12,22
0,1,45
0,70,5
0,6,44
0,3,31
0,37,10
0,12,30
0,1,26
0,9,13
0,16,35
0,3,32
0,30,20
0,2,15
0,35,9
0,5,34
0,11,24
0,5,37
0,20,0
0,16,9
0,6,17
0,46,43
0,49,24
0,7,3
0,38,11
0,12,31
0,3,12
0,17,49
0,35,27
0,150,23
0,2,38
0,37,4
0,7,41
0,48,2
0,38,24
0,21,44
0,5,22
0,4,34
0,75,33
0,2,12
0,27,22
0,23,41
0,5,17
0,29,40
0,88,40
0,5,26
0,11,19
0,5,6
0,35,8
0,47,30
0,60,19
0,8,27
0,46,30
0,7,11
0,122,39
0,1,19
0,4,43
0,24,4
0,31,9
0,8,15
0,17,38
0,2,44
0,43,45
0,42,4
0,8,9
0,10,30
0,64,23
0,34,49
0,4,6
0,5,19
0,29,21
0,25,15
0,36,30
0,51,23
0,55,36
0,21,26
0,8,28
0,1,11
0,65,4
0,20,48
0,36,18
0,35,6
0,11,39
0,33,31
0,5,1
0,24,40
0,5,8
0,33,47
0,59,12
0,3,34
0,13,0
0,5,18
0,24,0
0,66,12
0,3,25
0,5,5
0,19,3
0,27,5
0,124,35
0,42,45
0,26,25
0,10,3
0,55,7
0,32,15
0,3,48
0,103,43
0,47,37
0,22,23
0,1,11
0,27,15
0,1,44
0,20,49
0,34,43
0,46,37
0,3,37
0,2,18
0,11,8
0,89,18
0,15,3
0,21,39
0,10,38
0,68,49
0,8,28
0,5,10
0,43,33
0,2,37
0,4,23
0,22,46
0,29,3
0,10,8
0,2,12
0,11,8
0,9,5
0,27,45
0,6,40
0,23,8
0,19,13
0,54,20
0,9,13
0,42,19
0,1,4
0,7,49
0,14,4
0,27,29
0,36,14
0,17,27
0,7,23
0,29,46
0,80,32
0,6,3
0,14,11
0,31,18
0,5,45
0,41,24
0,12,40
0,52,6
0,1,10
0,7,9
0,13,15
0,9,49
0,36,10
0,1,31
0,9,33
0,5,8
0,7,39
0,21,2
0,53,7
0,6,9
0,70,14
0,1,9
0,30,30
0,17,2
0,89,23
0,6,12
0,4,48
0,2,34
0,23,10
0,4,19
0,4,19
0,50,12
0,41,14
0,41,13
0,28,40
0,31,29
