State,Steps,AgentStartingPosition
0,69,49
0,13,22
0,29,22
0,48,46
0,5,47
0,20,1
0,24,6
0,13,39
0,139,39
0,44,29
0,80,9
0,53,42
0,20,28
0,80,10
0,52,48
0,74,2
0,14,15
0,23,47
0,47,48
0,81,18
0,33,22
0,9,2
0,48,40
0,52,29
0,16,35
0,18,1
0,4,6
0,52,13
0,20,49
0,89,2
0,59,13
0,58,4
0,108,34
0,86,27
0,15,31
0,30,28
0,14,39
0,150,25
0,28,1
0,33,25
0,61,42
0,91,13
0,15,47
0,41,31
0,7,49
0,24,15
0,35,2
0,153,16
0,28,22
0,6,47
0,53,42
0,35,40
0,17,44
0,72,41
0,7,45
0,13,46
0,1,30
0,36,27
0,2,38
0,33,48
0,20,25
0,1,21
0,79,44
0,58,7
0,22,4
0,99,21
0,36,29
0,110,14
0,13,9
0,61,0
0,8,41
0,141,44
0,6,36
0,12,46
0,73,23
0,18,21
0,205,19
0,44,0
0,22,10
0,89,13
0,2,27
0,2,25
0,113,41
0,23,7
0,5,17
0,48,29
0,57,12
0,41,11
0,50,14
0,53,11
0,26,9
0,118,1
0,56,28
0,194,24
0,14,2
0,46,47
0,99,18
0,10,8
0,15,14
0,11,44
0,76,3
0,2,46
0,5,28
0,109,33
0,34,22
0,36,0
0,24,23
0,56,45
0,135,31
0,7,14
0,25,6
0,5,33
0,26,20
0,83,42
0,35,38
0,41,48
0,94,9
0,88,13
0,48,18
0,25,9
0,9,30
0,14,36
0,20,29
0,186,46
0,78,4
0,22,33
0,7,27
0,22,10
0,19,34
0,15,15
0,30,38
0,1,21
0,111,39
0,54,19
0,81,24
0,92,9
0,14,7
0,59,2
0,1,35
0,22,24
0,32,0
0,20,5
0,33,40
0,144,42
0,116,19
0,6,28
0,5,8
0,12,42
0,15,38
0,32,36
0,76,32
0,24,28
0,131,49
0,28,22
0,64,44
0,141,23
0,32,38
0,32,17
0,104,48
0,81,36
0,5,34
0,65,17
0,2,17
0,122,16
0,64,25
0,50,48
0,18,0
0,69,37
0,35,24
0,58,27
0,48,48
0,15,9
0,11,14
0,106,29
0,10,32
0,46,28
0,4,24
0,85,0
0,81,7
0,69,33
0,84,35
0,10,28
0,29,47
0,77,46
0,44,34
0,182,39
0,10,19
0,21,19
0,76,28
0,107,3
0,44,40
0,7,24
0,29,14
0,30,34
0,108,31
0,58,42
0,70,6
0,1,4
0,3,18
0,38,0
0,18,15
0,98,14
0,41,18
0,37,43
0,16,31
0,144,12
0,83,10
0,7,33
0,29,10
0,66,9
0,21,37
0,16,30
0,94,20
0,47,27
0,41,8
0,33,27
